,Time,Temp (F),Humidity,Wind Speed,Condition
0,2016-01-01 01:00:00,48.0,0.63,6.9,10.0
1,2016-01-01 02:00:00,48.0,0.63,6.9,10.0
2,2016-01-01 03:00:00,46.9,0.63,8.1,10.0
3,2016-01-01 04:00:00,46.0,0.66,12.7,10.0
4,2016-01-01 05:00:00,45.0,0.68,12.7,5.0
5,2016-01-01 06:00:00,44.1,0.68,9.2,13.0
6,2016-01-01 07:00:00,44.1,0.65,10.4,10.0
7,2016-01-01 08:00:00,44.1,0.65,9.2,10.0
8,2016-01-01 09:00:00,44.1,0.65,10.4,10.0
9,2016-01-01 10:00:00,45.0,0.63,6.9,10.0
10,2016-01-01 11:00:00,45.0,0.65,11.5,13.0
11,2016-01-01 12:00:00,46.9,0.61,11.5,9.0
12,2016-01-01 13:00:00,46.0,0.61,9.2,9.0
13,2016-01-01 14:00:00,46.0,0.61,9.2,10.0
14,2016-01-01 15:00:00,46.9,0.61,8.1,9.0
15,2016-01-01 16:00:00,46.0,0.61,6.9,10.0
16,2016-01-01 17:00:00,45.0,0.63,5.8,10.0
17,2016-01-01 18:00:00,46.0,0.61,6.9,10.0
18,2016-01-01 19:00:00,45.0,0.58,5.8,10.0
19,2016-01-01 20:00:00,45.0,0.6,4.6,10.0
20,2016-01-01 21:00:00,45.0,0.58,6.9,10.0
21,2016-01-01 22:00:00,45.0,0.52,4.6,10.0
22,2016-01-01 23:00:00,45.0,0.52,5.8,10.0
23,2016-01-02 00:00:00,44.1,0.6,4.6,10.0
24,2016-01-02 01:00:00,45.0,0.56,4.6,10.0
25,2016-01-02 02:00:00,45.0,0.53,5.8,10.0
26,2016-01-02 03:00:00,45.0,0.53,5.8,10.0
27,2016-01-02 04:00:00,44.1,0.65,3.5,10.0
28,2016-01-02 05:00:00,44.1,0.63,4.6,10.0
29,2016-01-02 06:00:00,44.1,0.6,4.6,10.0
30,2016-01-02 07:00:00,44.1,0.6,3.0,10.0
31,2016-01-02 08:00:00,42.1,0.73,3.5,10.0
32,2016-01-02 09:00:00,44.1,0.63,3.5,10.0
33,2016-01-02 10:00:00,44.1,0.65,3.5,10.0
34,2016-01-02 11:00:00,45.0,0.6,3.0,10.0
35,2016-01-02 12:00:00,46.0,0.56,3.5,10.0
36,2016-01-02 13:00:00,46.0,0.56,3.0,10.0
37,2016-01-02 14:00:00,46.0,0.56,4.6,10.0
38,2016-01-02 15:00:00,46.9,0.54,3.5,10.0
39,2016-01-02 16:00:00,46.0,0.63,3.0,5.0
40,2016-01-02 17:00:00,46.0,0.68,3.0,5.0
41,2016-01-02 18:00:00,44.1,0.85,3.0,5.0
42,2016-01-02 19:00:00,44.1,0.89,3.0,5.0
43,2016-01-02 20:00:00,43.0,0.93,3.0,5.0
44,2016-01-02 21:00:00,43.0,0.97,3.0,5.0
45,2016-01-02 22:00:00,43.0,0.93,3.0,12.0
46,2016-01-02 23:00:00,43.0,0.97,3.0,5.0
47,2016-01-03 00:00:00,42.1,0.96,3.5,5.0
48,2016-01-03 01:00:00,42.1,0.92,3.5,5.0
49,2016-01-03 02:00:00,42.1,0.92,3.5,10.0
50,2016-01-03 03:00:00,42.1,0.96,3.0,10.0
51,2016-01-03 04:00:00,42.1,0.92,3.5,10.0
52,2016-01-03 05:00:00,43.0,0.89,3.0,10.0
53,2016-01-03 06:00:00,43.0,0.93,3.5,10.0
54,2016-01-03 07:00:00,43.0,0.93,3.0,10.0
55,2016-01-03 08:00:00,43.0,0.93,3.5,9.0
56,2016-01-03 09:00:00,45.0,0.9,5.8,0.0
57,2016-01-03 10:00:00,48.0,0.77,8.1,10.0
58,2016-01-03 11:00:00,52.0,0.66,8.1,10.0
59,2016-01-03 12:00:00,53.1,0.66,5.8,10.0
60,2016-01-03 13:00:00,55.9,0.6,3.5,10.0
61,2016-01-03 14:00:00,57.0,0.57,8.1,9.0
62,2016-01-03 15:00:00,60.1,0.53,4.6,0.0
63,2016-01-03 16:00:00,61.0,0.52,5.8,0.0
64,2016-01-03 17:00:00,60.1,0.51,3.0,0.0
65,2016-01-03 18:00:00,55.9,0.42,3.5,0.0
66,2016-01-03 19:00:00,53.1,0.45,3.5,0.0
67,2016-01-03 20:00:00,48.9,0.52,3.0,0.0
68,2016-01-03 21:00:00,44.1,0.71,3.0,0.0
69,2016-01-03 22:00:00,42.1,0.76,3.0,0.0
70,2016-01-03 23:00:00,45.0,0.63,3.5,0.0
71,2016-01-04 00:00:00,44.1,0.71,3.5,0.0
72,2016-01-04 01:00:00,45.0,0.58,6.9,0.0
73,2016-01-04 02:00:00,45.0,0.56,8.1,0.0
74,2016-01-04 03:00:00,44.1,0.58,4.6,0.0
75,2016-01-04 04:00:00,41.0,0.67,3.5,0.0
76,2016-01-04 05:00:00,39.0,0.73,3.0,0.0
77,2016-01-04 06:00:00,37.9,0.73,5.8,0.0
78,2016-01-04 07:00:00,37.0,0.79,4.6,0.0
79,2016-01-04 08:00:00,37.0,0.76,3.5,0.0
80,2016-01-04 09:00:00,41.0,0.67,4.6,0.0
81,2016-01-04 10:00:00,46.9,0.56,4.6,0.0
82,2016-01-04 11:00:00,50.0,0.46,3.0,16.0
83,2016-01-04 12:00:00,54.0,0.41,3.5,0.0
84,2016-01-04 13:00:00,55.9,0.39,6.9,0.0
85,2016-01-04 14:00:00,57.0,0.36,4.6,0.0
86,2016-01-04 15:00:00,57.9,0.35,4.6,0.0
87,2016-01-04 16:00:00,57.0,0.39,4.6,0.0
88,2016-01-04 17:00:00,54.0,0.4,4.6,0.0
89,2016-01-04 18:00:00,51.1,0.48,3.5,0.0
90,2016-01-04 19:00:00,48.9,0.52,3.5,0.0
91,2016-01-04 20:00:00,46.9,0.59,3.5,0.0
92,2016-01-04 21:00:00,43.0,0.68,3.0,0.0
93,2016-01-04 22:00:00,,,,
94,2016-01-04 23:00:00,,,,
95,2016-01-05 00:00:00,,,,
96,2016-01-05 01:00:00,,,,
97,2016-01-05 02:00:00,37.0,0.86,3.0,0.0
98,2016-01-05 03:00:00,37.0,0.82,3.0,0.0
99,2016-01-05 04:00:00,37.9,0.83,3.0,0.0
100,2016-01-05 05:00:00,39.0,0.79,3.0,0.0
101,2016-01-05 06:00:00,39.0,0.76,3.5,0.0
102,2016-01-05 07:00:00,39.0,0.76,3.0,0.0
103,2016-01-05 08:00:00,39.0,0.79,3.0,0.0
104,2016-01-05 09:00:00,39.0,0.76,6.9,0.0
105,2016-01-05 10:00:00,42.1,0.7,4.6,0.0
106,2016-01-05 11:00:00,46.0,0.66,4.6,0.0
107,2016-01-05 12:00:00,50.0,0.59,3.5,16.0
108,2016-01-05 13:00:00,52.0,0.57,3.0,0.0
109,2016-01-05 14:00:00,55.0,0.53,3.5,0.0
110,2016-01-05 15:00:00,54.0,0.55,5.8,0.0
111,2016-01-05 16:00:00,54.0,0.57,3.5,9.0
112,2016-01-05 17:00:00,54.0,0.57,3.5,9.0
113,2016-01-05 18:00:00,53.1,0.59,3.5,10.0
