ERCOT Ten Year Energy Forecasts

     CONTROL AREA                      LOCATION               ACRONYM
     Austin Energy                     Austin. TX              AENX
     City Public Service               San Antonio, TX         CPST
     Central and South West Services   Dallas, TX              CSWS
     Lower Colorado River Authority    Austin, TX              LCRA
     Public Utilities Board            Brownsville, TX         PUBX
     Reliant Energy (HLP)              Houston, TX             REIT
     South Texas Electric Cooperative  Nursery, TX             STEC
     Texas Municipal Power Pool        Waco, TX                TMPP
     Texas-New Mexico Power Co.        League City, TX         TNMP
     TXU Electric Co.                  Dallas, TX              TUET

                        2000          2001          2002          2003          2004          2005          2006          2007          2008          2009
AENX              10,755,763    11,130,040    11,611,211    12,007,364    12,515,835    13,068,326    13,598,282    14,152,550    14,730,692    15,333,116
CPST              17,543,101    18,222,543    18,948,273    19,683,127    20,422,648    21,196,733    22,031,790    22,904,310    23,813,456    24,759,761
CSWS              33,275,395    35,162,000    35,359,817    36,162,650    37,300,924    38,514,649    39,457,704    40,427,410    41,419,052    42,430,352
LCRA              13,520,650    14,043,900    14,613,680    15,225,830    15,509,020    15,786,490    16,297,855    16,829,622    17,380,742    17,951,186
PUBX                 995,858     1,028,441     1,060,155     1,091,632     1,123,283     1,154,722     1,190,369     1,227,362     1,265,614     1,305,115
REIT              71,183,050    72,126,348    73,635,247    75,097,929    76,639,911    78,212,673    79,763,752    81,361,809    82,999,104    84,673,015
STEC               1,679,592     1,914,521     2,176,838     2,440,406     2,704,350     2,975,273     3,202,498     3,363,199     3,490,070     3,595,551
TMPP              12,751,295    13,255,213    13,752,992    14,275,919    14,823,040    15,392,729    16,001,136    16,638,588    17,304,671    17,999,980
TNMP               5,842,562     5,993,056     6,144,143     6,309,499     6,485,515     6,681,783     6,869,204     7,063,333     7,263,623     7,469,961
TUET             107,354,929   110,037,277   112,620,735   114,880,019   118,310,412   121,097,533   124,150,411   127,305,817   130,552,975   133,888,962
ERCOT Total      274,902,196   282,913,339   289,923,091   297,174,375   305,834,938   314,080,911   322,563,000   331,274,000   340,220,000   349,407,000
